C:\Users\USER\Desktop\all tests\Wang-04-15\1\1-hits.TXT
C:\Users\USER\Desktop\all tests\Wang-04-15\1\1-hits.TXT
Express-8 (r) Location Version 
Version V5.94

4/20/2026, 12:13:47

128            0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH  RISE  COUN  ENER  DURATION AMP  ABS-ENERGY
  1            0.0006935   1     1     6     0         7  47  20.961E+00
  1            0.0967515   1     1     9     0        18  49  55.880E+00
  1            0.0967525   3     1     4     0        40  48  43.325E+00
  1            1.5373280   5     1     6     0        18  54 140.731E+00
  1            1.5373590   6     2     1     0         3  47  22.729E+00
  1            2.4081125   1     1     6     0         4  47   9.711E+00
  1            2.4081675   3     1     1     0         1  45   0.000E+00
  1            2.5038455   3     1     5     0        47  50  64.524E+00
  1            2.5038505   1     2     8     0        42  49 123.608E+00
  1            2.5996845   1     1     6     0         4  47   9.712E+00
  1            2.6955395   3     1     3     0        44  48  50.847E+00
  1            2.6955415   1     2     8     0        42  49 121.103E+00
  1            2.7916445   1     1     6     0         7  47  19.463E+00
  1            2.8873865   3     1     4     0        44  47  49.487E+00
  1            2.8873895   1     1     8     0        41  50 124.872E+00
  1            2.9831335   1     1     5     0         1  47   0.000E+00
  1            3.0788995   1     1     9     0        30  49  94.582E+00
  1            3.0789025   3     1     5     0         1  48   0.000E+00
  1            4.8796625   3     1     2     0        40  49  72.246E+00
  1            5.5259915   1     1     6     0         7  47  18.640E+00
  1            5.6218125   1     1     8     0        21  49  71.356E+00
  1            5.6218555   3     1     2     0         1  46   0.000E+00
  1            5.7176985   1     1     1     0         4  45   7.158E+00
  1            5.8137495   1     1     9     0        27  49  83.475E+00
  1            5.9094985   3     1     2     0         1  45   0.000E+00
  1            5.9095385   1     1     1     0         1  46   0.000E+00
  1            6.0052515   1     1     9     1        53  49 161.634E+00
  1            6.0052545   3     1     5     0        47  47  61.572E+00
  1            6.1010425   1     1     5     0        27  47  53.250E+00
  1            6.1978835   1     1     8     0        42  49 120.477E+00
  1            6.1978845   3     1     3     0         1  48   0.000E+00
  1            8.5970715   1     1     6     0         7  47  20.330E+00
  1            8.6939335   3     1     4     0         4  48  10.932E+00
  1            8.6939355   1     1     9     1        42  49 122.298E+00
  1            8.7897115   3     1     2     0         1  46   0.000E+00
  1            8.7897425   1     1     2     0        10  46  15.301E+00
  1            8.8855845   1     1     8     0        42  49 122.537E+00
  1            8.8855855   3     1     3     0         1  49   0.000E+00
  1            8.9814035   1     1     6     0         7  48  22.443E+00
  1            8.9814465   3     1     1     0         1  45   0.000E+00
  1            9.0774705   1     1     9     1        42  49 125.467E+00
  1            9.0774745   3     1     3     0         1  48   0.000E+00
  1            9.1732195   3     1     2     0        44  46  33.158E+00
  1            9.1732335   1     1     3     0        30  46  53.900E+00
  1            9.2701035   1     1     8     0         7  49  30.282E+00
  1            9.2701065   3     1     4     0        41  48  40.903E+00
  1           11.7277745   3     1     2     0         1  46   0.000E+00
  1           11.7278055   1     1     2     0        13  45  23.062E+00
  1           11.8238165   1     1     9     1        50  50 156.667E+00
  1           11.8238195   3     1     4     0        47  48  61.338E+00
  1           11.9199235   1     1     6     0         4  47  11.815E+00
  1           12.0156805   3     1     4     0        47  47  62.037E+00
