time_s,pwave_sw_us,pwave_aic_us,Vp_sw_km,Vp_aic_km
0.115211,34.675,35.275,4.918032786885246,4.777070063694268
3.01892,35.45,35.3,4.737465455981049,4.771371769383698
6.08178,35.6,35.2,4.704037632301057,4.79424690371554
9.12512,35.25,35.15,4.782781984854523,4.805766920304365
12.1802,35.525,35.6,4.720692368214004,4.704037632301057
15.2713,35.4,35.3,4.748713889988128,4.771371769383698
18.343,35.125,34.875,4.811547714514834,4.870129870129869
21.3902,35.325,34.925,4.765687053216838,4.858299595141701
24.4492,35.325,35.175,4.765687053216838,4.8
27.5218,35.425,35.25,4.743083003952569,4.782781984854523
30.5905,35.4,35.025,4.748713889988128,4.8348106365834
33.6495,35.275,35.2,4.777070063694268,4.79424690371554
36.7026,35.225,35.25,4.788507581803669,4.782781984854523
39.8338,35.175,35.025,4.8,4.8348106365834
43.0216,35.125,35.2,4.811547714514834,4.79424690371554
46.1782,35.225,35.175,4.788507581803669,4.8
49.3065,34.925,34.85,4.858299595141701,4.876066639577407
52.4582,35.0,34.875,4.840661557079467,4.870129870129869
55.5953,35.275,35.0,4.777070063694268,4.840661557079467
58.665,34.575,34.675,4.942339373970344,4.918032786885246
61.6946,35.075,34.925,4.823151125401928,4.858299595141701
64.7741,35.1,34.875,4.817342432757928,4.870129870129869
67.9375,34.725,34.675,4.90596892886345,4.918032786885246
71.1205,34.85,34.875,4.876066639577407,4.870129870129869
74.2194,35.025,34.85,4.8348106365834,4.876066639577407
77.2638,34.4,34.725,4.985459077690069,4.90596892886345
80.3481,34.85,34.65,4.876066639577407,4.924086992203528
83.4832,35.025,35.05,4.8348106365834,4.828973843058349
86.6437,34.45,34.55,4.9730625777041,4.948453608247422
89.7983,34.775,34.725,4.893964110929852,4.90596892886345
92.952,35.0,34.7,4.840661557079467,4.911993450675397
96.0979,34.55,34.475,4.948453608247422,4.966887417218541
99.2876,34.7,34.575,4.911993450675397,4.942339373970344
102.413,34.575,34.45,4.942339373970344,4.9730625777041
105.448,34.15,34.475,5.0483803113167856,4.966887417218541
108.582,34.45,34.425,4.9730625777041,4.979253112033195
111.746,34.5,34.275,4.9607275733774285,5.016722408026755
114.872,34.225,34.175,5.029337803855824,5.042016806722689
118.018,34.625,34.525,4.930156121610517,4.95458298926507
121.152,34.45,34.4,4.9730625777041,4.985459077690069
124.208,34.4,34.35,4.985459077690069,4.997917534360682
127.262,33.975,34.375,5.0933786078098455,4.991680532445923
130.427,34.25,34.35,5.02302218501465,4.997917534360682
133.595,34.2,34.0,5.035669324381032,5.0869012293344635
136.733,33.975,33.9,5.0933786078098455,5.112910097997443
139.893,33.975,34.025,5.0933786078098455,5.080440304826419
143.031,33.775,33.775,5.145797598627787,5.145797598627787
146.134,33.475,33.725,5.226480836236933,5.159071367153912
149.191,33.3,33.725,5.2747252747252755,5.159071367153912
152.251,33.625,33.675,5.185825410544511,5.172413793103448
155.334,33.275,33.625,5.281690140845069,5.185825410544511
158.412,33.775,33.7,5.145797598627787,5.1657339647008165
161.557,33.7,33.5,5.1657339647008165,5.219660722053065
164.718,33.475,33.4,5.226480836236933,5.24704853519895
167.842,33.25,33.325,5.288673424416041,5.267778753292359
170.972,33.5,33.5,5.219660722053065,5.219660722053065
174.072,33.2,33.4,5.302695536897922,5.24704853519895
177.972,33.325,33.225,5.267778753292359,5.295675198587818
181.916,33.325,33.25,5.267778753292359,5.288673424416041
185.018,33.15,33.075,5.316792202038103,5.338078291814945
188.083,33.15,33.075,5.316792202038103,5.338078291814945
191.143,33.05,33.0,5.345211581291759,5.359535506922732
194.187,33.025,33.075,5.35236396074933,5.338078291814945
197.255,32.975,32.95,5.366726296958854,5.373936408419166
200.349,33.2,33.25,5.302695536897922,5.288673424416041
203.49,32.825,32.8,5.410279531109106,5.417607223476298
206.641,33.025,32.9,5.35236396074933,5.3884149079479124
209.718,32.95,33.0,5.373936408419166,5.359535506922732
212.77,32.85,32.975,5.402971634398917,5.366726296958854
215.812,32.95,32.85,5.373936408419166,5.402971634398917
218.849,32.175,32.6,5.607476635514019,5.476951163852122
221.905,32.1,31.925,5.631159080244015,5.687203791469193
224.943,32.6,32.5,5.476951163852122,5.507113354749884
228.011,32.625,32.675,5.469462169553326,5.454545454545454
232.054,32.625,32.475,5.469462169553326,5.514705882352939
236.093,32.5,32.45,5.507113354749884,5.522319374137136
239.176,32.35,32.2,5.552984729291993,5.599626691553895
242.208,32.325,32.225,5.560704355885076,5.59179869524697
245.24,32.275,32.325,5.576208178438661,5.560704355885076
248.375,31.675,32.3,5.769230769230767,5.568445475638051
251.531,32.2,32.2,5.599626691553895,5.599626691553895
255.522,32.275,32.075,5.576208178438661,5.6390977443609
259.549,32.1,32.0,5.631159080244015,5.663048607833883
262.746,31.8,32.05,5.727923627684962,5.647058823529412
265.908,32.0,31.975,5.663048607833883,5.671077504725897
269.038,31.9,31.85,5.695301376364498,5.711565920990004
272.195,32.025,31.825,5.655042412818095,5.719733079122974
275.382,31.7,31.65,5.760921747479596,5.777563793933558
278.498,31.575,31.725,5.802707930367504,5.752636625119845
281.569,31.95,31.9,5.679129200189305,5.695301376364498
284.688,31.875,31.825,5.703422053231939,5.719733079122974
287.81,31.625,31.65,5.785920925747346,5.777563793933558
291.713,31.675,31.8,5.769230769230767,5.727923627684962
296.179,31.65,31.725,5.777563793933558,5.752636625119845
299.85,31.6,31.275,5.794302269435054,5.905511811023621
302.921,31.525,31.475,5.819592628516003,5.83657587548638
305.993,31.55,31.575,5.8111380145278435,5.802707930367504
309.115,31.525,31.5,5.819592628516003,5.82807187955318
312.267,31.45,31.325,5.845104724792985,5.888125613346417
315.353,31.325,31.375,5.888125613346417,5.870841487279842
318.407,31.275,31.225,5.905511811023621,5.92300098716683
321.914,31.075,31.0,5.976095617529879,6.003001500750375
325.427,31.05,31.15,5.98503740648379,5.949429846306395
328.503,31.2,31.125,5.93178447849728,5.958291956305858
331.626,31.25,31.275,5.9142434696895005,5.905511811023621
334.814,31.025,31.325,5.994005994005993,5.888125613346417
337.908,30.925,30.925,6.030150753768843,6.030150753768843
340.931,30.95,30.9,6.021073758153536,6.039255158530447
343.958,31.025,31.05,5.994005994005993,5.98503740648379
