Time,CH,RISE,COUN,ENER,DURATION,AMP,ABS_E
2.189263,1,32,14,2,48,55.0,561.361
2.1892675,3,9,16,4,172,58.0,956.839
2.1893095,6,25,8,1,44,52.0,217.739
2.285315,1,32,18,4,135,57.0,1014.0
2.2853195,3,9,18,5,175,61.0,1471.0
2.2853495,6,37,14,2,102,54.0,469.986
2.381153,1,1,12,3,132,55.0,641.844
2.3811545,3,9,16,4,172,58.0,948.821
2.3811965,6,1,7,1,47,52.0,235.744
2.47699,1,11,19,4,137,57.0,1015.0
2.4769965,3,3,17,5,169,60.0,1370.0
2.4770275,6,11,14,2,58,53.0,405.754
2.573117,1,12,12,2,54,55.0,556.844
2.5731185,3,13,16,4,172,59.0,951.184
2.5731605,6,1,8,1,50,51.0,238.176
2.668846,1,9,18,4,132,57.0,977.638
2.6688505,3,10,17,5,172,60.0,1388.0
2.6688815,6,1,12,2,115,53.0,484.199
2.764568,1,32,14,2,48,55.0,563.719
2.7645725,3,9,15,4,172,59.0,945.091
2.7646145,6,28,8,1,43,52.0,213.016
2.860371,1,29,17,3,113,57.0,968.647
2.8603755,3,5,18,6,222,61.0,1498.0
2.860393,2,1,3,0,4,54.0,39.261
2.8604055,6,40,14,2,61,54.0,419.645
5.258526,1,12,13,2,43,55.0,526.498
5.2585305,3,6,15,4,169,59.0,900.881
5.2585695,6,1,7,1,47,51.0,232.77
5.35538,1,12,18,4,166,57.0,1003.0
5.3553845,3,10,17,5,169,60.0,1392.0
5.3554155,6,1,13,2,115,53.0,485.539
5.451202,1,12,12,3,132,55.0,639.03
5.4512035,3,9,16,4,175,59.0,966.18
5.4512455,6,1,7,1,47,52.0,233.518
5.547294,1,32,19,3,113,57.0,966.259
5.5472985,3,9,18,5,175,61.0,1473.0
5.5473285,6,40,14,2,102,54.0,479.042
5.64304,1,32,14,2,48,55.0,557.212
5.6430445,3,9,16,4,172,59.0,959.768
5.6430865,6,28,8,1,44,53.0,221.723
5.738784,1,9,17,4,132,57.0,969.371
5.7387885,3,10,17,5,169,60.0,1390.0
5.7388195,6,1,13,2,115,53.0,487.115
5.834608,1,12,11,2,43,55.0,528.826
5.8346095,3,13,16,4,172,59.0,961.788
5.8346515,6,1,8,1,50,51.0,242.169
5.930433,1,9,17,4,166,57.0,1005.0
5.9304345,3,13,18,5,172,60.0,1456.0
5.9304685,6,1,13,2,115,53.0,488.927
8.313714,1,32,14,2,48,55.0,554.129
8.3137205,3,7,16,4,166,59.0,912.231
8.3137605,6,28,9,1,46,52.0,231.565
8.409456,1,32,18,3,113,57.0,948.181
8.4094605,3,9,17,5,175,61.0,1458.0
8.4094905,6,40,14,2,102,54.0,482.54
8.50531,1,9,11,2,43,55.0,521.885
8.5053145,3,10,16,4,169,58.0,915.037
8.5053535,6,1,8,1,47,51.0,235.373
8.601121,1,32,18,3,113,57.0,952.389
8.6011255,3,5,18,5,175,61.0,1481.0
8.6011555,6,40,14,2,61,54.0,425.045
8.697255,1,12,13,3,132,55.0,634.82
8.6972565,3,9,16,4,172,59.0,957.509
8.6972985,6,1,8,1,47,52.0,238.784
8.79299,1,32,19,4,172,57.0,1048.0
8.7929945,3,9,18,5,175,60.0,1465.0
8.7930245,6,1,14,2,81,54.0,453.105
8.888741,1,1,12,2,43,55.0,529.228
8.8887455,3,6,15,4,169,58.0,911.122
8.8887815,6,1,8,1,50,52.0,252.524
8.984529,1,32,19,4,132,57.0,989.845
8.9845335,3,9,17,5,175,61.0,1464.0
8.9845635,6,40,14,2,61,54.0,423.864
11.380908,1,9,12,2,54,55.0,550.956
11.3809125,3,10,15,4,169,59.0,928.537
11.3809515,6,1,8,1,47,52.0,235.781
11.477744,1,32,18,4,132,57.0,985.331
11.4777485,3,9,17,6,222,61.0,1513.0
11.4777785,6,40,14,2,102,54.0,483.995
11.573493,1,32,13,2,48,55.0,558.269
11.5734975,3,5,15,4,168,58.0,948.284
11.5735395,6,1,8,1,46,52.0,236.498
11.669231,1,32,18,3,113,57.0,953.958
11.6692355,3,9,18,5,175,61.0,1489.0
11.6692685,6,37,14,2,99,55.0,474.459
11.765061,1,32,14,2,48,55.0,558.311
11.7650655,3,9,16,4,172,59.0,950.977
11.7651075,6,1,8,1,44,52.0,218.865
11.86087,1,32,18,3,65,57.0,900.992
11.8608745,3,9,17,5,175,61.0,1474.0
11.860892,2,1,3,0,7,56.0,93.573
11.8609045,6,40,13,2,61,54.0,428.464
11.956738,1,12,13,2,43,55.0,527.747
11.9567395,3,9,15,4,172,58.0,956.33
11.9567815,6,1,8,1,47,52.0,232.811
12.053568,1,11,18,4,137,57.0,1005.0
12.0535745,3,3,17,5,169,60.0,1395.0
