Time,CH,RISE,COUN,ENER,DURATION,AMP,ABS_E
2.285337,2,1,2,0,7,52.0,54.339
2.668871,2,1,3,0,4,52.0,26.333
2.764593,2,1,1,0,1,50.0,0.0
5.258548,2,1,1,0,7,51.0,37.317
5.355405,2,1,1,0,1,50.0,0.0
5.547316,2,1,2,0,7,53.0,59.888
5.738809,2,1,1,0,1,50.0,0.0
5.83463,2,1,1,0,1,51.0,0.0
5.930458,2,1,1,0,1,51.0,0.0
8.409478,2,1,2,0,7,53.0,71.577
8.601149,2,1,1,0,1,50.0,0.0
8.697274,2,1,2,0,1,52.0,0.0
8.793012,2,1,2,0,7,52.0,64.912
8.984554,2,1,2,0,4,53.0,38.322
11.477766,2,1,3,0,7,52.0,64.267
11.573515,2,1,2,0,1,52.0,0.0
11.669253,2,1,2,0,1,53.0,0.0
11.95676,2,1,1,0,4,50.0,20.938
12.053593,2,1,1,0,1,52.0,0.0
14.580552,2,1,1,0,1,50.0,0.0
14.773209,2,1,2,0,7,53.0,67.492
15.060826,2,1,1,0,1,50.0,0.0
15.156593,2,1,2,0,7,53.0,81.469
17.565944,2,1,1,0,1,53.0,0.0
17.662782,2,1,2,0,7,53.0,79.781
17.75853,2,1,2,0,4,53.0,32.904
18.045941,2,1,1,0,4,52.0,30.718
18.142067,2,1,2,0,4,52.0,31.313
18.237808,2,1,2,0,1,53.0,0.0
20.624863,2,1,3,0,7,52.0,56.603
20.912423,2,1,2,0,1,53.0,0.0
21.104023,2,1,2,0,13,53.0,125.955
21.199887,2,1,2,0,1,52.0,0.0
21.295961,2,2,2,0,6,53.0,65.606
23.691864,2,1,1,0,1,50.0,0.0
23.884554,2,1,2,0,4,51.0,31.138
23.980409,2,1,3,0,7,53.0,82.757
24.267945,2,1,2,0,7,53.0,64.593
26.774171,2,1,2,0,7,51.0,49.031
26.870738,2,1,1,0,1,50.0,0.0
27.062519,2,1,2,0,7,52.0,64.26
27.158278,2,1,1,0,1,50.0,0.0
27.254124,2,1,1,0,4,52.0,39.901
27.349985,2,1,2,0,4,53.0,31.06
29.853961,2,1,2,0,4,52.0,27.841
30.237358,2,1,2,0,9,53.0,97.565
30.42901,2,1,2,0,7,52.0,61.638
32.921823,2,1,1,0,1,50.0,0.0
33.497869,2,1,2,0,7,53.0,63.123
35.982069,2,1,2,0,7,53.0,81.056
36.175037,2,1,2,1,64,53.0,136.93
36.366577,2,1,1,0,1,52.0,0.0
36.558148,2,1,1,0,4,51.0,31.587
39.126203,2,1,2,0,1,53.0,0.0
39.702326,2,1,2,0,7,52.0,68.852
42.709236,2,1,2,0,7,52.0,55.871
42.901708,2,1,2,0,7,53.0,72.532
