Time,x,y,z,q,src_amp,total_abs_e,n_hits,n_clean,clean_f
124.8955965,-0.6134,58.05,-0.319,1.0,60.0,1507.346,6,3,0.5
1427.8838625,-15.01,41.12,-15.03,1.0,57.0,577.683,5,3,0.6
1436.12876,5.782,38.79,2.18,0.7865,52.0,481.658,5,3,0.6
1463.92434,2.94,30.45,-9.204,1.0,55.0,442.149,4,4,1.0
1513.6824575,7.023,61.09,9.061,1.0,50.0,94.37,4,3,0.75
1518.215034,-1.138,69.36,2.704,0.7838,63.0,10590.046,6,5,0.8333333333333334
1526.1402425,-17.14,49.9,2.502,0.8089,60.0,31849.689,6,4,0.6666666666666666
1528.4987375,0.7777,85.11,6.916,1.0,60.0,2875.839,5,4,0.8
1531.4405465,-8.359,22.07,-5.213,0.9785,49.0,1788.8799999999999,5,5,1.0
1531.6497335,-9.508,39.39,-4.088,0.877,45.0,631.1569999999999,5,3,0.6
1532.703432,-1.247,17.47,6.276,1.0,62.0,3890.0,4,2,0.5
1533.35465,-1.451,76.1,4.358,0.6961,61.0,5096.653,5,4,0.8
1534.866169,-8.574,88.25,11.84,0.9562,68.0,7324.834,5,3,0.6
1535.685513,-2.796,39.43,2.128,1.0,61.0,6393.0,5,3,0.6
1537.052052,12.5,23.93,19.11,1.0,70.0,10397.82,5,4,0.8
1537.1078755,15.93,61.99,9.789,1.0,53.0,188.504,4,3,0.75
1539.064129,-0.7805,28.3,6.097,1.0,61.0,4762.0,4,2,0.5
1539.352348,0.4228,35.64,6.368,1.0,63.0,8771.0,5,3,0.6
1542.7646735,-18.57,10.33,1.915,1.0,52.0,165.30700000000002,4,4,1.0
1544.6781435,-16.16,27.07,3.995,1.0,53.0,349.122,4,3,0.75
1544.975869,-11.55,74.05,4.085,0.8824,68.0,15404.843,5,5,1.0
1545.204142,-1.775,37.47,6.232,1.0,61.0,4065.0,4,2,0.5
1545.491873,-2.184,39.48,5.253,0.8679,63.0,9058.0,5,3,0.6
1548.1842065,-12.95,46.52,2.993,0.5331,61.0,8525.0,6,4,0.6666666666666666
1548.278192,0.3646,37.52,3.152,1.0,62.0,4953.329,5,3,0.6
1548.336515,-15.5,95.69,-14.99,1.0,51.0,15244.633,6,4,0.6666666666666666
1548.891299,-11.28,66.93,5.065,1.0,66.0,3869.316,4,2,0.5
1550.21652,12.41,41.42,21.09,1.0,64.0,3294.103,4,2,0.5
1550.759168,-16.84,88.7,15.45,1.0,67.0,4294.166,4,3,0.75
1551.253396,-2.184,39.48,5.253,0.8679,64.0,10079.0,5,3,0.6
1551.349258,0.3646,37.52,3.152,1.0,62.0,5266.0380000000005,5,3,0.6
1551.556723,11.99,45.87,22.15,1.0,59.0,480.086,4,2,0.5
1551.636903,0.4228,35.64,6.368,1.0,64.0,8428.556,5,3,0.6
1551.829516,0.4228,35.64,6.368,1.0,64.0,11608.462,5,4,0.8
1554.201509,12.53,44.88,16.75,0.8915,79.0,180608.0,6,4,0.6666666666666666
1554.4892005,1.454,24.85,-20.62,0.8217,62.0,4042.265,5,3,0.6
1554.494668,-3.558,53.14,8.572,1.0,54.0,484.505,5,3,0.6
1554.77672,0.4228,35.64,6.368,1.0,64.0,6549.0,5,3,0.6
1556.1775145,-14.72,59.29,-12.97,0.7777,55.0,4511.997,6,5,0.8333333333333334
1556.248028,-7.459,74.56,3.915,1.0,56.0,742.715,4,3,0.75
1557.8203885,-12.24,52.99,4.91,1.0,55.0,1400.835,4,2,0.5
1558.057455,6.015,25.75,3.682,0.8098,63.0,10077.842,5,5,1.0
1558.153289,-2.184,39.48,5.253,0.8679,65.0,10550.0,5,3,0.6
1558.4677535,-12.39,55.72,-16.63,1.0,67.0,161483.0,6,6,1.0
1558.532054,9.956,51.4,-14.41,0.8028,65.0,2990.782,5,4,0.8
1558.7267745,-14.5,43.5,-1.807,0.8944,51.0,141.537,5,4,0.8
1559.548111,3.774,56.46,11.0,1.0,56.0,4320.196,5,4,0.8
1559.9847945,18.32,57.65,10.53,1.0,63.0,3413.0,4,2,0.5
1560.661283,6.349,9.629,7.657,0.9052,63.0,7503.557,5,3,0.6
1560.7580975,-1.559,34.64,-1.68,1.0,64.0,14104.0,5,3,0.6
1560.854173,6.015,25.75,3.682,0.8098,63.0,4591.563,5,3,0.6
1560.949912,-2.008,43.64,7.365,1.0,65.0,17469.0,5,4,0.8
1561.335272,-11.62,81.59,6.522,1.0,62.0,4176.9130000000005,4,4,1.0
1561.470843,15.4,26.0,9.25,0.7491,61.0,2210.804,5,3,0.6
1562.646843,6.566,94.37,-22.72,0.9597,47.0,130.353,5,3,0.6
1562.828611,-6.86,20.75,16.39,0.8106,84.0,142941.0,5,5,1.0
1562.981782,15.08,44.99,-3.156,0.655,57.0,777.158,5,4,0.8
1563.096994,-1.467,55.97,6.951,1.0,61.0,2038.333,4,2,0.5
1563.282684,-14.36,73.0,-9.169,1.0,61.0,2696.612,4,4,1.0
1563.292883,-2.24,77.01,0.5145,1.0,64.0,4653.091,4,3,0.75
1563.644577,5.775,55.77,0.8262,1.0,72.0,36757.0,5,3,0.6
1564.035846,7.89,20.82,3.853,0.7676,63.0,9151.0,5,3,0.6
1564.0966385,17.29,75.61,9.602,0.9548,68.0,16575.087,5,4,0.8
1564.131671,-2.008,43.64,7.365,1.0,65.0,18388.499,5,5,1.0
1564.228523,11.35,13.54,8.176,0.7724,63.0,7204.898,5,3,0.6
1564.588802,-9.897,79.84,1.837,1.0,56.0,474.435,4,2,0.5
1564.841764,-4.123,26.93,17.86,1.0,81.0,143945.0,4,4,1.0
1565.0375415,-6.984,32.07,-20.42,1.0,55.0,939.712,5,5,1.0
1565.4578675,-4.277,46.08,-12.15,0.7562,54.0,5391.845,5,4,0.8
1565.5148015,-4.243,55.28,-18.19,1.0,72.0,383686.0,6,4,0.6666666666666666
1565.5175165,-13.97,48.88,-9.88,0.6438,57.0,6024.739,6,3,0.5
1565.5325315,-13.24,45.93,-14.8,0.6765,45.0,263.554,5,4,0.8
1565.5730065,18.04,78.58,12.68,1.0,64.0,1065.665,4,3,0.75
1565.972245,-22.9,57.62,5.037,0.6758,58.0,2561.79,5,5,1.0
1565.995772,-11.75,66.9,17.52,1.0,59.0,347.335,4,3,0.75
1566.022142,6.496,70.85,2.223,1.0,54.0,1211.7640000000001,4,4,1.0
1566.040767,-23.54,58.95,6.317,1.0,57.0,3783.112,4,2,0.5
1566.0501605,8.329,66.8,22.94,1.0,66.0,7397.105,4,4,1.0
1566.10726,-17.26,32.03,9.45,0.9521,53.0,835.466,5,5,1.0
1566.224828,-24.42,70.67,-4.943,1.0,54.0,695.3230000000001,4,3,0.75
1566.416571,-0.7437,32.76,23.29,1.0,54.0,242.85299999999998,4,4,1.0
1566.5339755,-16.88,42.93,5.423,0.8929,53.0,2818.31,5,3,0.6
1567.0322245,-11.73,55.21,-17.21,0.6805,65.0,33903.788,6,5,0.8333333333333334
1567.0681015,-4.235,36.2,-23.21,0.8976,46.0,76.534,5,3,0.6
1567.080939,-2.008,43.64,7.365,1.0,65.0,10739.016,5,4,0.8
1567.0829155,-8.558,46.3,3.829,0.5479,53.0,1161.2369999999999,5,4,0.8
1567.084468,8.465,33.69,11.05,0.7434,67.0,9008.53,6,4,0.6666666666666666
1567.12102,7.376,41.5,18.88,0.5437,85.0,266201.318,6,5,0.8333333333333334
1567.138408,17.68,74.86,-3.208,1.0,47.0,1505.453,4,4,1.0
1567.1655765,9.212,65.55,11.73,1.0,56.0,435.442,4,2,0.5
1567.276593,0.9107,35.46,16.89,1.0,75.0,35051.005,4,3,0.75
1567.278586,3.929,60.24,-16.47,1.0,53.0,31092.484,5,4,0.8
1567.409917,7.519,39.23,17.07,1.0,51.0,946.268,4,4,1.0
1567.4138085,0.7344,80.68,18.94,1.0,64.0,2806.839,4,3,0.75
1567.464397,7.167,12.65,2.065,0.8387,64.0,13616.0,5,3,0.6
1567.482352,11.94,39.32,-0.2061,1.0,65.0,15887.0,4,3,0.75
1567.504083,-21.68,90.02,12.54,1.0,56.0,427.247,4,2,0.5
1567.6931045,-4.522,33.45,1.738,1.0,54.0,604.643,4,3,0.75
1568.0534895,-0.7504,57.37,-12.2,1.0,53.0,1370.326,4,3,0.75
1568.4169195,9.216,53.1,19.14,1.0,68.0,20896.324,5,3,0.6
1568.460868,-16.41,0.6864,12.82,1.0,52.0,264.082,4,3,0.75
1568.548184,-6.164,93.85,5.357,1.0,68.0,8694.999,5,4,0.8
1568.580842,2.085,54.4,18.89,1.0,79.0,131509.0,4,4,1.0
1568.631343,-4.614,58.09,8.019,1.0,61.0,5079.0,4,2,0.5
1568.698389,16.34,27.15,-15.31,0.7447,58.0,855.043,6,5,0.8333333333333334
1568.729001,3.698,79.89,19.62,1.0,60.0,730.9090000000001,4,4,1.0
1568.743966,-11.9,40.33,9.827,1.0,47.0,243.875,4,4,1.0
1568.8471945,9.276,75.65,15.21,1.0,92.0,1097579.0,6,5,0.8333333333333334
1568.857903,10.54,62.31,7.881,1.0,86.0,5281592.0,5,5,1.0
1568.87026,8.413,78.48,22.75,0.6263,64.0,22930.026,5,3,0.6
1568.872503,-0.6488,64.84,20.89,0.7036,71.0,133948.0,5,4,0.8
1568.9193565,4.925,75.94,10.91,1.0,91.0,225120.0,5,4,0.8
1568.927363,-16.78,67.6,13.08,0.6625,64.0,7773.811,5,3,0.6
1568.9780035,15.65,83.28,-10.4,1.0,73.0,32501.0,5,4,0.8
1569.003014,-21.64,73.55,-7.566,1.0,56.0,3062.0,4,2,0.5
1569.025877,2.516,65.47,7.922,1.0,59.0,4222.0,4,2,0.5
1569.0547585,8.791,77.58,15.76,0.8144,83.0,159266.977,6,6,1.0
1569.15097,-1.158,78.42,16.09,1.0,52.0,180.546,4,2,0.5
1569.22266,-17.74,59.63,7.639,1.0,76.0,100501.0,4,3,0.75
1569.2956695,-7.003,36.49,-18.08,0.5844,56.0,1952.021,6,4,0.6666666666666666
1569.56574,-11.35,58.44,1.01,1.0,59.0,3627.983,4,3,0.75
1569.646365,-0.9193,77.79,2.987,0.9183,57.0,2381.416,5,3,0.6
1569.64887,-22.78,91.01,-1.194,1.0,55.0,823.16,4,4,1.0
1569.679603,5.916,34.39,-0.05401,1.0,60.0,738.053,4,2,0.5
1569.691289,-23.03,68.35,-6.261,1.0,57.0,1928.1509999999998,4,2,0.5
1569.723118,3.584,52.24,5.305,1.0,71.0,37391.476,5,3,0.6
1569.784051,9.276,65.44,10.69,1.0,86.0,3145980.0,5,5,1.0
1569.79225,21.57,85.16,0.5416,1.0,55.0,221.298,4,2,0.5
1569.829935,1.726,21.0,14.55,0.8162,61.0,6532.103,5,3,0.6
1569.851914,10.94,61.32,11.86,1.0,65.0,4810.0,4,2,0.5
1569.859169,-11.67,64.45,12.03,1.0,75.0,52185.0,5,3,0.6
1569.938534,-21.62,77.99,-11.67,1.0,50.0,800.5360000000001,4,3,0.75
1569.995763,14.98,68.55,11.82,1.0,56.0,2613.0,4,3,0.75
1570.0021155,-22.57,39.5,0.6586,1.0,52.0,2422.943,4,3,0.75
1570.004935,2.944,78.6,-7.181,1.0,67.0,16552.25,4,3,0.75
1570.114471,2.576,45.26,5.844,1.0,51.0,309.46500000000003,4,4,1.0
1570.136177,6.306,70.19,20.18,1.0,73.0,314999.0,4,4,1.0
1570.1425645,-6.529,53.7,-17.56,1.0,52.0,1067.304,4,4,1.0
1570.18098,2.139,61.02,14.51,1.0,64.0,11298.543,5,3,0.6
