C:\Users\USER\Desktop\all tests\Wang-04-15\04-15-hits-zhenlingshu.TXT
C:\Users\USER\Desktop\all tests\Wang-04-15\04-15-hits-zhenlingshu.TXT
Express-8 (r) Location Version 
Version V5.94

4/15/2026, 17:03:41

128            0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH  RISE  COUN  ENER  DURATION AMP  ABS-ENERGY
  1            2.1892630   1    32    14     2        48  55 561.361E+00
  1            2.1892675   3     9    16     4       172  58 956.839E+00
  1            2.1893095   6    25     8     1        44  52 217.739E+00
  1            2.2853150   1    32    18     4       135  57   1.014E+03
  1            2.2853195   3     9    18     5       175  61   1.471E+03
  1            2.2853370   2     1     2     0         7  52  54.339E+00
  1            2.2853495   6    37    14     2       102  54 469.986E+00
  1            2.3811530   1     1    12     3       132  55 641.844E+00
  1            2.3811545   3     9    16     4       172  58 948.821E+00
  1            2.3811965   6     1     7     1        47  52 235.744E+00
  1            2.4769900   1    11    19     4       137  57   1.015E+03
  1            2.4769965   3     3    17     5       169  60   1.370E+03
  1            2.4770275   6    11    14     2        58  53 405.754E+00
  1            2.5731170   1    12    12     2        54  55 556.844E+00
  1            2.5731185   3    13    16     4       172  59 951.184E+00
  1            2.5731605   6     1     8     1        50  51 238.176E+00
  1            2.6688460   1     9    18     4       132  57 977.638E+00
  1            2.6688505   3    10    17     5       172  60   1.388E+03
  1            2.6688710   2     1     3     0         4  52  26.333E+00
  1            2.6688815   6     1    12     2       115  53 484.199E+00
  1            2.7645680   1    32    14     2        48  55 563.719E+00
  1            2.7645725   3     9    15     4       172  59 945.091E+00
  1            2.7645930   2     1     1     0         1  50   0.000E+00
  1            2.7646145   6    28     8     1        43  52 213.016E+00
  1            2.7872160   1     2     1     0         2  45   3.784E+00
  1            2.8603710   1    29    17     3       113  57 968.647E+00
  1            2.8603755   3     5    18     6       222  61   1.498E+03
  1            2.8603930   2     1     3     0         4  54  39.261E+00
  1            2.8604055   6    40    14     2        61  54 419.645E+00
  1            5.2585260   1    12    13     2        43  55 526.498E+00
  1            5.2585305   3     6    15     4       169  59 900.881E+00
  1            5.2585480   2     1     1     0         7  51  37.317E+00
  1            5.2585695   6     1     7     1        47  51 232.770E+00
  1            5.3553800   1    12    18     4       166  57   1.003E+03
  1            5.3553845   3    10    17     5       169  60   1.392E+03
  1            5.3554050   2     1     1     0         1  50   0.000E+00
  1            5.3554155   6     1    13     2       115  53 485.539E+00
  1            5.4512020   1    12    12     3       132  55 639.030E+00
  1            5.4512035   3     9    16     4       175  59 966.180E+00
  1            5.4512455   6     1     7     1        47  52 233.518E+00
  1            5.5472940   1    32    19     3       113  57 966.259E+00
  1            5.5472985   3     9    18     5       175  61   1.473E+03
  1            5.5473160   2     1     2     0         7  53  59.888E+00
  1            5.5473285   6    40    14     2       102  54 479.042E+00
  1            5.6430400   1    32    14     2        48  55 557.212E+00
  1            5.6430445   3     9    16     4       172  59 959.768E+00
  1            5.6430865   6    28     8     1        44  53 221.723E+00
  1            5.7387840   1     9    17     4       132  57 969.371E+00
  1            5.7387885   3    10    17     5       169  60   1.390E+03
  1            5.7388090   2     1     1     0         1  50   0.000E+00
  1            5.7388195   6     1    13     2       115  53 487.115E+00
  1            5.8346080   1    12    11     2        43  55 528.826E+00
  1            5.8346095   3    13    16     4       172  59 961.788E+00
  1            5.8346300   2     1     1     0         1  51   0.000E+00
  1            5.8346515   6     1     8     1        50  51 242.169E+00
  1            5.9304330   1     9    17     4       166  57   1.005E+03
  1            5.9304345   3    13    18     5       172  60   1.456E+03
  1            5.9304580   2     1     1     0         1  51   0.000E+00
  1            5.9304685   6     1    13     2       115  53 488.927E+00
  1            8.3137140   1    32    14     2        48  55 554.129E+00
  1            8.3137205   3     7    16     4       166  59 912.231E+00
  1            8.3137605   6    28     9     1        46  52 231.565E+00
  1            8.4094560   1    32    18     3       113  57 948.181E+00
  1            8.4094605   3     9    17     5       175  61   1.458E+03
  1            8.4094780   2     1     2     0         7  53  71.577E+00
  1            8.4094905   6    40    14     2       102  54 482.540E+00
  1            8.5053100   1     9    11     2        43  55 521.885E+00
