Time,CH,RISE,COUN,ENER,DURATION,AMP,ABS_E
2.764593,2,1,1,0,1,50.0,0.0
2.787216,1,2,1,0,2,45.0,3.784
5.258548,2,1,1,0,7,51.0,37.317
5.355405,2,1,1,0,1,50.0,0.0
5.738809,2,1,1,0,1,50.0,0.0
5.83463,2,1,1,0,1,51.0,0.0
5.930458,2,1,1,0,1,51.0,0.0
8.601149,2,1,1,0,1,50.0,0.0
10.0605155,3,1,2,0,43,49.0,40.225
11.95676,2,1,1,0,4,50.0,20.938
14.580552,2,1,1,0,1,50.0,0.0
15.060826,2,1,1,0,1,50.0,0.0
22.4301015,3,2,1,0,6,50.0,27.397
22.430123,1,1,1,0,1,45.0,0.0
23.691864,2,1,1,0,1,50.0,0.0
23.884554,2,1,2,0,4,51.0,31.138
26.774171,2,1,2,0,7,51.0,49.031
26.870738,2,1,1,0,1,50.0,0.0
27.158278,2,1,1,0,1,50.0,0.0
27.3880125,3,1,1,0,1,45.0,0.0
32.921823,2,1,1,0,1,50.0,0.0
35.5691425,3,1,1,0,5,48.0,15.632
35.7725085,3,1,1,0,1,45.0,0.0
36.558148,2,1,1,0,4,51.0,31.587
39.0108615,3,1,1,0,6,45.0,10.017
42.8716455,3,1,2,0,5,48.0,15.976
42.87167,1,1,1,0,1,45.0,0.0
44.2093095,3,2,1,0,2,45.0,3.213
46.9344035,3,1,1,0,1,45.0,0.0
49.014268,2,1,2,0,4,51.0,32.272
50.58255,1,1,1,0,1,47.0,0.0
52.7568245,3,2,1,0,2,45.0,4.025
53.7417465,3,1,1,0,1,45.0,0.0
53.741763,1,1,1,0,1,45.0,0.0
55.2113345,3,1,1,0,5,45.0,7.626
58.9471155,3,2,1,0,2,45.0,3.213
64.5987245,3,1,1,0,1,45.0,0.0
68.3469645,3,1,2,0,7,53.0,61.158
71.7378785,3,1,1,0,1,45.0,0.0
80.3661985,3,1,1,0,1,45.0,0.0
93.5515185,3,1,1,0,4,48.0,10.434
93.551531,1,4,1,0,5,46.0,18.014
119.2327955,3,2,1,0,2,45.0,6.846
124.8955965,6,2,6,1,191,61.0,613.722
124.895597,4,2,5,1,194,58.0,412.627
124.895597,5,2,6,1,194,58.0,480.997
125.1757445,3,1,1,0,1,45.0,0.0
133.1701145,3,1,1,0,1,45.0,0.0
133.170129,1,1,1,0,1,45.0,0.0
137.4006355,3,2,1,0,41,47.0,35.086
137.400644,1,1,2,0,1,46.0,0.0
163.873864,1,1,1,0,1,45.0,0.0
172.6552465,3,1,1,0,1,45.0,0.0
182.7460055,3,1,2,0,5,51.0,27.499
204.7030455,3,1,1,0,1,45.0,0.0
266.3386135,3,1,4,0,22,55.0,127.395
302.8152245,3,1,2,0,22,52.0,73.021
539.4014445,6,1,1,0,1,45.0,0.0
575.055497,4,1,1,0,1,48.0,0.0
575.0555695,3,1,6,1,80,52.0,168.892
582.9379805,6,1,1,0,1,45.0,0.0
755.241213,1,1,2,0,19,48.0,25.759
798.1739065,3,1,1,0,1,45.0,0.0
820.2005325,3,1,1,0,1,45.0,0.0
827.6494465,6,1,1,0,1,45.0,0.0
885.4570455,6,2,16,5,183,65.0,2256.0
885.457081,4,1,1,0,1,45.0,0.0
890.684433,1,1,1,0,1,45.0,0.0
905.473131,5,2,1,0,3,45.0,7.913
905.4731345,6,1,1,0,1,47.0,0.0
905.6068465,3,6,13,3,130,56.0,514.273
905.606856,4,1,1,0,1,45.0,0.0
905.606867,1,12,6,1,113,52.0,206.532
907.9279895,3,2,1,0,5,47.0,14.116
907.928014,2,1,1,0,1,51.0,0.0
915.413622,1,2,1,0,2,46.0,5.921
919.9139,1,1,6,0,47,50.0,90.388
919.9139035,6,2,2,0,3,51.0,28.261
919.913925,2,2,1,0,2,51.0,25.269
943.317987,5,1,1,0,1,47.0,0.0
943.3180095,6,1,1,0,1,45.0,0.0
949.426836,5,3,20,6,144,65.0,2560.0
949.4268365,6,2,17,5,107,69.0,3602.0
949.42684,4,18,10,3,63,59.0,1010.0
949.4268575,3,1,17,3,189,57.0,574.852
957.846592,1,2,1,0,2,45.0,6.375
961.6785755,6,2,1,0,2,50.0,35.674
961.67858,5,2,1,0,2,47.0,11.061
976.881206,1,34,7,0,44,53.0,157.127
976.8812075,3,5,11,2,124,56.0,497.461
976.881217,4,1,1,0,1,45.0,0.0
1001.106601,5,3,1,0,4,47.0,21.028
1001.3519225,3,1,1,0,1,45.0,0.0
1011.5672605,6,1,1,0,1,45.0,0.0
1011.567265,5,1,3,0,1,46.0,0.0
1014.8992105,3,1,1,0,1,45.0,0.0
1032.7100695,6,2,2,0,27,49.0,52.626
1094.797789,1,3,3,0,12,54.0,97.58
1094.797792,2,1,2,0,1,52.0,0.0
1094.7978165,6,1,4,0,22,48.0,38.475
1138.3613825,3,1,1,0,1,45.0,0.0
1139.4905765,3,1,1,0,4,47.0,10.548
1173.0318975,3,1,3,0,12,51.0,53.838
1179.8788955,6,1,1,0,1,45.0,0.0
1179.8789045,3,1,1,0,1,46.0,0.0
1179.878918,2,1,1,0,1,50.0,0.0
1194.504717,1,1,2,0,1,47.0,0.0
1207.797955,1,1,1,0,1,45.0,0.0
1212.4039325,3,1,1,0,1,45.0,0.0
1218.3030075,3,1,1,0,1,48.0,0.0
1218.303023,1,1,1,0,1,45.0,0.0
1224.182355,5,1,1,0,1,45.0,0.0
1224.3884645,6,2,3,0,2,49.0,4.305
1224.388475,1,1,4,0,1,49.0,0.0
1229.5888435,6,1,1,0,1,45.0,0.0
1234.8905605,6,2,1,0,3,46.0,8.36
1234.894646,1,1,7,1,54,52.0,147.925
1234.8946615,3,1,3,0,31,51.0,73.53
1235.1215755,3,1,1,0,1,45.0,0.0
1239.662734,5,1,1,0,1,46.0,0.0
1244.6956675,3,1,2,0,7,49.0,28.543
1255.9571835,3,1,1,0,1,45.0,0.0
1258.267697,1,1,1,0,1,47.0,0.0
1258.2677075,3,2,1,0,5,46.0,11.145
1258.594075,1,2,2,0,2,47.0,6.26
1258.594076,5,1,1,0,1,45.0,0.0
1258.5940775,3,1,1,0,1,45.0,0.0
1261.701723,1,2,1,0,2,49.0,6.846
1262.247742,1,12,31,10,198,64.0,3872.0
1262.6313,1,12,30,10,198,64.0,3877.0
1263.1939955,6,1,1,0,1,45.0,0.0
1263.389161,5,2,1,0,2,45.0,4.305
1264.233332,1,3,7,1,98,51.0,226.583
1264.2333505,3,1,7,0,38,50.0,69.247
1264.233386,2,2,3,0,2,53.0,20.948
1268.404779,1,12,31,10,198,64.0,3896.0
1268.596673,1,12,31,10,198,64.0,3906.0
1269.7045885,3,1,1,0,1,45.0,0.0
1271.745478,1,12,30,10,195,64.0,3905.0
1277.971629,1,12,29,10,195,64.0,3954.0
1278.354764,1,12,29,10,198,64.0,3956.0
1280.819798,1,11,30,10,195,63.0,4003.0
1281.011763,1,15,31,10,198,63.0,4009.0
1281.204023,1,12,30,10,192,63.0,3953.0
1281.396966,1,12,29,10,195,63.0,3962.0
1283.867888,1,12,30,10,198,63.0,3985.0
1284.059755,1,15,31,10,198,63.0,4033.0
1284.251292,1,12,29,10,195,64.0,3972.0
1284.443965,1,15,30,10,198,63.0,4045.0
1284.8123395,6,1,2,0,1,46.0,0.0
1285.8031425,6,1,1,0,1,45.0,0.0
1286.942937,1,12,30,10,192,64.0,3987.0
1287.134804,1,12,29,10,195,64.0,3982.0
1287.326341,1,12,31,10,192,64.0,3994.0
1287.518814,1,15,30,10,198,63.0,4055.0
1290.025123,1,12,31,10,190,63.0,3997.0
1290.0251245,3,10,27,8,245,63.0,2897.0
1290.216687,1,15,29,10,198,63.0,4058.0
1290.2166905,3,10,27,8,242,63.0,2920.0
1290.408364,1,9,30,10,193,63.0,4009.0
